subset_size,r2_value0,r2_value1,r2_value2,test_accuracy,test_loss,anli_r3_loss,anli_r3_accuracy,mnli_loss,mnli_accuracy,sick_loss,sick_accuracy,mean_odd_accuracy,mean_odd_loss,r2_value
54935,0.8895118905406251,0.8893530343598778,0.891155841065901,0.8618688925081434,0.38428279757499695,1.8089648485183716,0.3408333333333333,0.828673779964447,0.6839910496338486,1.822907567024231,0.5046881369751325,0.5098375066474382,1.4868487318356831,0.8900069219888013
109870,0.8899850921833942,0.8897839983502406,0.8914187244967032,0.8737785016286646,0.33692479133605957,1.6715396642684937,0.32166666666666666,0.7084160447120667,0.7112489829129374,1.7119848728179932,0.5036689767631471,0.5121948754475837,1.363980193932851,0.890395938343446
164805,0.8901943536512257,0.8899153288202793,0.8916216202891565,0.8748982084690554,0.33124399185180664,1.6708956956863403,0.33,0.6946902275085449,0.717860048820179,1.4955008029937744,0.5120260905014268,0.5199620464405353,1.2870289087295532,0.8905771009202205
219740,0.8902562055448001,0.8900138071972185,0.8917596749277935,0.8906758957654723,0.31537342071533203,1.956078290939331,0.32416666666666666,0.7250040173530579,0.7318958502847844,1.8347870111465454,0.5695067264573991,0.5418564144696166,1.5052897731463115,0.890676562556604
274675,0.8902209699507669,0.890073586820478,0.891793615644572,0.8856881107491856,0.3107416331768036,1.6733787059783936,0.30833333333333335,0.6750668883323669,0.7235557363710333,1.4383747577667236,0.5719527109661638,0.5346139268901768,1.2622734506924946,0.890696057471939
329610,0.8903300977866624,0.8901226661303263,0.8918371528316152,0.8935260586319218,0.296896755695343,1.8363037109375,0.32916666666666666,0.6931813955307007,0.7299633848657445,1.6689497232437134,0.5664492458214432,0.5418597657846181,1.399478276570638,0.890763305582868
384545,0.8903437347059623,0.8901679880812599,0.8918266997420269,0.8967833876221498,0.31101366877555847,2.0885186195373535,0.3,0.7325683832168579,0.7306753458096013,1.880039095878601,0.5511618426416632,0.5272790628170881,1.5670420328776042,0.8907794741764165
439480,0.8902372215534087,0.8901016955047025,0.8918678142077677,0.8974959283387622,0.2919161915779114,1.689652919769287,0.3383333333333333,0.6917023658752441,0.7293531326281529,1.6674277782440186,0.5752140236445169,0.5476334965353343,1.3495943546295166,0.8907355770886264
494415,0.8904698419683033,0.8901484539164713,0.8918303732053466,0.8954600977198697,0.294725239276886,1.703568696975708,0.3283333333333333,0.6787757277488708,0.7299633848657445,1.667116641998291,0.5558499796167957,0.5380488992719579,1.34982035557429,0.8908162230300404
549350,0.8903696693369785,0.8901611628433926,0.8918013042048831,0.8928135179153095,0.29836398363113403,1.545494556427002,0.32083333333333336,0.6822842955589294,0.7125711960943857,1.6363989114761353,0.556461475743987,0.5299553350572354,1.2880592544873555,0.8907773787950847
