subset_size,r2_value0,r2_value1,r2_value2,test_accuracy,test_loss,anli_r3_loss,anli_r3_accuracy,snli_loss,snli_accuracy,sick_loss,sick_accuracy,mean_odd_accuracy,mean_odd_loss,r2_value
39269,0.8061061740029167,0.8127842264195231,0.8082397370279243,0.7872253864930838,0.5458050966262817,1.8857051134109497,0.305,0.7761662602424622,0.6974755700325733,1.585135579109192,0.4629025682837342,0.619284569449627,1.0458226998647053,0.8090433791501214
78538,0.8076690865251619,0.8141756927171742,0.8096126150662138,0.7971928397070789,0.5065803527832031,1.6118420362472534,0.31666666666666665,0.6501052379608154,0.7415513029315961,1.2413135766983032,0.5120260905014268,0.6650428987882063,0.8471746842066447,0.8104857981028499
117807,0.8080784343557831,0.8146448562522697,0.8097941316704518,0.8101098454027664,0.49007073044776917,1.609455943107605,0.30583333333333335,0.6247210502624512,0.7456229641693811,1.2383438348770142,0.5234406848756624,0.6715622044048083,0.8292619784673055,0.8108391407595015
157076,0.808452501361541,0.8146336579497022,0.81016563508605,0.8205858421480878,0.4703911542892456,1.7929996252059937,0.31416666666666665,0.5890711545944214,0.7711726384364821,1.3042043447494507,0.5495311863024868,0.697292154391817,0.8274488846460978,0.8110839314657644
196345,0.808588782969467,0.8149525895008021,0.8102291553166654,0.8246541903986981,0.4529756009578705,1.6031286716461182,0.30416666666666664,0.5573310852050781,0.7736156351791531,1.4219835996627808,0.5195678760701182,0.6889330488094748,0.8455485900243124,0.8112568425956449
235614,0.8085881625297202,0.8149884862617122,0.8104457485944121,0.8275020341741253,0.4586998224258423,2.0092520713806152,0.31083333333333335,0.5866490602493286,0.78939332247557,1.456778645515442,0.5428047289033836,0.7071971246181746,0.8766922553380331,0.8113407991286149
274883,0.8087601727956026,0.815031757258153,0.8102940030344268,0.8225183075671277,0.44616609811782837,1.7011586427688599,0.32083333333333336,0.572921097278595,0.7668973941368078,1.1137239933013916,0.5580921320831634,0.6972956401189263,0.7531887292861938,0.8113619776960608
314152,0.80888130945329,0.8151130493279768,0.8103776453090034,0.8364524003254679,0.4381905198097229,2.0133209228515625,0.3175,0.5854573249816895,0.7862377850162866,1.7252311706542969,0.5305748063595597,0.701016792130711,0.965381940205892,0.8114573346967567
353421,0.8087126396995268,0.8144825493907638,0.8105789177739587,0.8216029292107404,0.4609995186328888,1.8736425638198853,0.31583333333333335,0.5453022122383118,0.7864413680781759,1.1583564281463623,0.5856094578067672,0.7194973979877064,0.7496536175409952,0.8112580356214164
392690,0.8085773717440858,0.8151910975311528,0.8106733390517608,0.8364524003254679,0.4381905198097229,2.0133209228515625,0.3175,0.5854573249816895,0.7862377850162866,1.7252311706542969,0.5305748063595597,0.701016792130711,0.965381940205892,0.8114806027756666
