subset_size,r2_value0,r2_value1,r2_value2,test_accuracy,test_loss,mnli_loss,mnli_accuracy,snli_loss,snli_accuracy,sick_loss,sick_accuracy,mean_odd_accuracy,mean_odd_loss,r2_value
9041,0.8192983210985223,0.8206532130418271,0.8152769648963897,0.4166666666666667,1.1931281089782715,0.8206879496574402,0.6363913751017087,0.9210468530654907,0.5650447882736156,1.2285770177841187,0.3874847125968202,0.5296402919907148,0.9901039401690165,0.818409499678913
18082,0.8243103411564936,0.8246150212654627,0.8210176653664832,0.4266666666666667,1.3332561254501343,0.8298919200897217,0.6382221318144833,0.9916415810585022,0.5648412052117264,1.6879112720489502,0.39421116999592337,0.5324248356740444,1.169814924399058,0.8233143425961464
27123,0.8258277579392224,0.8260866974903162,0.822981061573607,0.4625,1.4984503984451294,0.8337308168411255,0.6672091131000814,0.9881240725517273,0.6101384364820847,1.5179117918014526,0.4578067672238076,0.5783847722686578,1.1132555603981018,0.8249651723343819
36164,0.8266736057845839,0.826480989737064,0.8240900865242218,0.44916666666666666,1.5245168209075928,0.7953739166259766,0.6834825061025224,1.059016466140747,0.6159405537459284,1.900651216506958,0.3991031390134529,0.5661753996206346,1.2516805330912273,0.8257482273486231
45205,0.8269542776684276,0.826964970598227,0.824908006001474,0.4608333333333333,1.480241298675537,0.8484117984771729,0.669039869812856,1.064776062965393,0.5898819218241043,2.0076489448547363,0.36832450061149613,0.5424154307494855,1.3069456020991008,0.8262757514227094
54246,0.82762190727142,0.8269568178225456,0.8252917871780967,0.445,1.2245759963989258,0.6907683610916138,0.7074857607811229,0.8659069538116455,0.6246946254071661,1.6077375411987305,0.36995515695067266,0.5673785143796539,1.0548042853673298,0.8266235040906874
63287,0.8278747667685907,0.827532606020421,0.8254608134710247,0.4625,1.6270756721496582,0.8022351861000061,0.7064686737184703,1.0808674097061157,0.612785016286645,2.008527994155884,0.4351814105177334,0.5848117001742829,1.297210196654002,0.8269560620866788
72328,0.82777357349487,0.8272872364244926,0.8257621318624151,0.45666666666666667,1.2881805896759033,0.6993696093559265,0.7151139137510171,0.8842048645019531,0.6171620521172638,1.617247462272644,0.4390542193232776,0.5904433950638529,1.0669406453768413,0.826940980593926
81369,0.8281043783738371,0.8274445739763719,0.8257533808900388,0.445,1.2840900421142578,0.7140757441520691,0.7012815296989422,0.8588244915008545,0.6246946254071661,1.5355664491653442,0.4211169995923359,0.5823643848994814,1.0361555616060893,0.8271007777467493
90410,0.828114191415098,0.8276892772004615,0.8259904424310555,0.4508333333333333,1.5050774812698364,0.7684338092803955,0.7120626525630595,0.9436787366867065,0.6445439739413681,1.693396806716919,0.48369343660823483,0.6134333543708875,1.135169784228007,0.8272646370155382
