subset_size,r2_value0,r2_value1,r2_value2,test_accuracy,test_loss,anli_r3_loss,anli_r3_accuracy,anli_r2_loss,anli_r2_accuracy,snli_loss,snli_accuracy,semeval_loss,semeval_accuracy,anli_r1_loss,anli_r1_accuracy,sick_loss,sick_accuracy,mean_odd_accuracy,mean_odd_loss,r2_value
39269,0.8061061740029167,0.8127842264195231,0.8082397370279243,0.7872253864930838,0.5458050966262817,1.8987109661102295,0.295,2.046996593475342,0.286,0.7761662602424622,0.6974755700325733,1.5806056261062622,0.4645829104932007,2.243405342102051,0.219,1.585135579109192,0.4629025682837342,0.4041601748015848,1.6885033945242565,0.8090433791501214
78538,0.8076690865251619,0.8141756927171742,0.8096126150662138,0.7971928397070789,0.5065803527832031,1.6611831188201904,0.2916666666666667,1.8139333724975586,0.268,0.6501052379608154,0.7415513029315961,1.2383379936218262,0.5134970570326771,1.9149023294448853,0.231,1.2413134574890137,0.5120260905014268,0.4262901861887278,1.4199625849723816,0.8104857981028499
117807,0.8080784343557831,0.8146448562522697,0.8097941316704518,0.8101098454027664,0.49007073044776917,1.6730924844741821,0.2991666666666667,1.7537785768508911,0.268,0.6247210502624512,0.7456229641693811,1.2355356216430664,0.5246600365333874,1.8103947639465332,0.214,1.2383437156677246,0.5234406848756624,0.4291483920408496,1.3893110354741414,0.8108391407595015
157076,0.808452501361541,0.8146336579497022,0.81016563508605,0.8205858421480878,0.4703911542892456,1.9030479192733765,0.30333333333333334,2.1903131008148193,0.245,0.5890711545944214,0.7711726384364821,1.301685094833374,0.5506393342804953,2.2894692420959473,0.209,1.3042043447494507,0.5495311863024868,0.4381127487254663,1.5962984760602315,0.8110839314657644
196345,0.808588782969467,0.8149525895008021,0.8102291553166654,0.8246541903986981,0.4529756009578705,1.6482843160629272,0.305,1.8084716796875,0.275,0.5573309659957886,0.7736156351791531,1.4184200763702393,0.5210066977877005,1.9031574726104736,0.233,1.4219835996627808,0.5195678760701182,0.4378650348394953,1.459608018398285,0.8112568425956449
235614,0.8085881625297202,0.8149884862617122,0.8104457485944121,0.8275020341741253,0.4586998224258423,2.074148416519165,0.2833333333333333,2.185781955718994,0.284,0.5866490602493286,0.78939332247557,1.4532673358917236,0.5441445098437183,2.193178653717041,0.241,1.456778645515442,0.5428047289033836,0.4474459824260009,1.6583006779352825,0.8113407991286149
274883,0.8087601727956026,0.815031757258153,0.8102940030344268,0.8225183075671277,0.44616609811782837,1.7536609172821045,0.3175,1.7879114151000977,0.307,0.572921097278595,0.7668973941368078,1.1115840673446655,0.5593667546174143,1.8916032314300537,0.25,1.1137239933013916,0.5580921320831634,0.4598093801395642,1.3719007869561513,0.8113619776960608
314152,0.80888130945329,0.8151130493279768,0.8103776453090034,0.8364524003254679,0.4381905198097229,2.079350471496582,0.31416666666666665,2.260810613632202,0.304,0.5854573249816895,0.7862377850162866,1.7212265729904175,0.5319667140247615,2.4132797718048096,0.24,1.7252311706542969,0.5305748063595597,0.4511576620112123,1.7975593209266663,0.8114573346967567
353421,0.8087126396995268,0.8144825493907638,0.8105789177739587,0.8216029292107404,0.4609995186328888,1.8968689441680908,0.30666666666666664,2.0198051929473877,0.28,0.5453022718429565,0.7864413680781759,1.1563149690628052,0.586766795210067,2.1779401302337646,0.192,1.1583564281463623,0.5856094578067672,0.45624738129361275,1.4924313227335613,0.8112580356214164
392690,0.8085773717440858,0.8151910975311528,0.8106733390517608,0.8364524003254679,0.4381905198097229,2.079350471496582,0.31416666666666665,2.260810613632202,0.304,0.5854573249816895,0.7862377850162866,1.7212265729904175,0.5319667140247615,2.4132797718048096,0.24,1.7252311706542969,0.5305748063595597,0.4511576620112123,1.7975593209266663,0.8114806027756666
