subset_size,r2_value0,r2_value1,r2_value2,test_accuracy,test_loss,mnli_loss,mnli_accuracy,anli_r2_loss,anli_r2_accuracy,snli_loss,snli_accuracy,semeval_loss,semeval_accuracy,anli_r1_loss,anli_r1_accuracy,sick_loss,sick_accuracy,mean_odd_accuracy,mean_odd_loss,r2_value
9041,0.8192983210985223,0.8206532130418271,0.8152769648963897,0.4166666666666667,1.1931281089782715,0.8206879496574402,0.6363913751017087,1.2187416553497314,0.384,0.9210468530654907,0.5650447882736156,1.2262681722640991,0.3894865029429673,1.1063801050186157,0.455,1.2285770177841187,0.3874847125968202,0.469567896485852,1.086950292189916,0.818409499678913
18082,0.8243103411564936,0.8246150212654627,0.8210176653664832,0.4266666666666667,1.3332561254501343,0.8298919200897217,0.6382221318144833,1.4695500135421753,0.383,0.9916415810585022,0.5648412052117264,1.6843349933624268,0.3955754008524457,1.2922629117965698,0.441,1.687911033630371,0.39421116999592337,0.4694749846457631,1.325932075579961,0.8233143425961464
27123,0.8258277579392224,0.8260866974903162,0.822981061573607,0.4625,1.4984503984451294,0.8337308168411255,0.6672091131000814,1.7001259326934814,0.396,0.9881240725517273,0.6101384364820847,1.5147794485092163,0.45910290237467016,1.345798373222351,0.497,1.5179117918014526,0.4578067672238076,0.5145428698634406,1.3167450726032257,0.8249651723343819
36164,0.8266736057845839,0.826480989737064,0.8240900865242218,0.44916666666666666,1.5245168209075928,0.7953738570213318,0.6834825061025224,1.709585189819336,0.414,1.059016466140747,0.6159405537459284,1.8958683013916016,0.4006494824436777,1.405758261680603,0.473,1.900651216506958,0.3991031390134529,0.4976959468842635,1.4610422154267628,0.8257482273486231
45205,0.8269542776684276,0.826964970598227,0.824908006001474,0.4608333333333333,1.480241298675537,0.8484117984771729,0.669039869812856,1.605293869972229,0.415,1.064776062965393,0.5898819218241043,2.003577709197998,0.3691901765780394,1.3017756938934326,0.493,2.0076489448547363,0.36832450061149613,0.484072744804416,1.471914013226827,0.8262757514227094
54246,0.82762190727142,0.8269568178225456,0.8252917871780967,0.445,1.2245759963989258,0.6907683610916138,0.7074857607811229,1.3398938179016113,0.41,0.8659069538116455,0.6246946254071661,1.6045013666152954,0.3708138826872336,1.1605281829833984,0.48,1.6077375411987305,0.36995515695067266,0.49382490430436593,1.211556037267049,0.8266235040906874
63287,0.8278747667685907,0.827532606020421,0.8254608134710247,0.4625,1.6270756721496582,0.8022351264953613,0.7064686737184703,1.7313334941864014,0.447,1.0808674097061157,0.612785016286645,2.0039572715759277,0.43677694337324946,1.4102305173873901,0.504,2.008527994155884,0.4351814105177334,0.5237020073160163,1.5061919689178467,0.8269560620866788
72328,0.82777357349487,0.8272872364244926,0.8257621318624151,0.45666666666666667,1.2881805896759033,0.6993696093559265,0.7151139137510171,1.3873858451843262,0.432,0.8842049837112427,0.6171620521172638,1.6135659217834473,0.4404302821189365,1.1443270444869995,0.511,1.617247462272644,0.4390542193232776,0.5257934112184158,1.2243501444657643,0.826940980593926
81369,0.8281043783738371,0.8274445739763719,0.8257533808900388,0.445,1.2840900421142578,0.7140758633613586,0.7012815296989422,1.330283284187317,0.433,0.8588243722915649,0.6246946254071661,1.5318037271499634,0.42277247818144914,1.1181749105453491,0.52,1.5355664491653442,0.4211169995923359,0.5204776054799822,1.1814547677834828,0.8271007777467493
90410,0.828114191415098,0.8276892772004615,0.8259904424310555,0.4508333333333333,1.5050774812698364,0.7684338092803955,0.7120626525630595,1.6109015941619873,0.41,0.9436787366867065,0.6445439739413681,1.6892794370651245,0.48508220012177794,1.3000576496124268,0.497,1.693396806716919,0.48369343660823483,0.5387303772057401,1.3342913389205933,0.8272646370155382
