subset_size,r2_value,test_accuracy,test_loss,imdb_loss,imdb_accuracy,tweet_eval_loss,tweet_eval_accuracy,yelp_loss,yelp_accuracy,mean_odd_accuracy,mean_odd_loss
5387,0.8225366954785767,0.8999257609502599,0.2615826725959778,0.41363805532455444,0.8408,1.249346375465393,0.4486062090326298,0.24123945832252502,0.9048684210526315,0.7314248766950872,0.6347412963708242
10774,0.8276734963962983,0.9180400890868596,0.2286248654127121,0.41902148723602295,0.84508,1.3326231241226196,0.49294100698696247,0.23611050844192505,0.9125,0.7501736689956542,0.6625850399335226
16161,0.8294683561269097,0.9170007423904974,0.2171531766653061,0.39267513155937195,0.82276,0.9794016480445862,0.5211769790391125,0.24118955433368683,0.8972105263157895,0.747049168451634,0.5377554446458817
21548,0.8302591406563209,0.916406829992576,0.2270224541425705,0.504234790802002,0.80348,1.052647590637207,0.5638190592811352,0.2752411961555481,0.8940789473684211,0.7537926688831854,0.6107078591982523
26935,0.8308673670286855,0.9306607275426875,0.20432014763355255,0.47569966316223145,0.82812,1.394213318824768,0.4874666858748109,0.2727542519569397,0.8969473684210526,0.7375113514319546,0.7142224113146464
32322,0.8310262875154178,0.924127691165553,0.23179374635219574,0.38032862544059753,0.85168,0.7905032634735107,0.6100266513001512,0.2683706283569336,0.9086578947368421,0.7901215153456644,0.4797341724236806
37709,0.8314008131858754,0.9250185597624351,0.21146619319915771,0.43367719650268555,0.819,1.3368849754333496,0.5100842757329107,0.27587124705314636,0.8865263157894737,0.7385368638407948,0.6821444729963938
43096,0.8315563909921682,0.9364513734224202,0.22144374251365662,0.48394930362701416,0.84452,1.327224612236023,0.5877331988763236,0.3305821716785431,0.8868157894736842,0.7730229961166692,0.7139186958471934
48483,0.8317919433590023,0.9251670378619153,0.21263189613819122,0.37173813581466675,0.84716,0.9068933725357056,0.556832096809047,0.25399911403656006,0.9000526315789473,0.7680149094626648,0.5108768741289774
53870,0.8318644983286314,0.9432813659985152,0.1729501187801361,0.41825738549232483,0.85644,1.303476333618164,0.5523301879997119,0.28940069675445557,0.903342105263158,0.7707040977542899,0.6703781386216482
