subset_size,r2_value,test_accuracy,test_loss,imdb_loss,imdb_accuracy,tweet_eval_loss,tweet_eval_accuracy,yelp_loss,yelp_accuracy,mean_odd_accuracy,mean_odd_loss
5387,0.8325133956563037,0.8947290274684484,0.2522113621234894,0.4332447946071625,0.7978,1.0114774703979492,0.3913419289778866,0.34819650650024414,0.839,0.6760473096592955,0.5976395905017853
10774,0.8351645107411472,0.9083890126206384,0.23360879719257355,0.406981498003006,0.8182,0.9077006578445435,0.575488006914932,0.27687373757362366,0.8837894736842106,0.7591591601997142,0.530518631140391
16161,0.8361134084123776,0.9210096510764663,0.2216118425130844,0.46515366435050964,0.82468,1.0767323970794678,0.5370236980479723,0.32036587595939636,0.8729736842105263,0.7448924607528329,0.6207506457964579
21548,0.8366398954331562,0.9303637713437268,0.21383436024188995,0.4537193775177002,0.8312,1.2617534399032593,0.5164229633364547,0.3201858699321747,0.8746578947368421,0.7407602860244323,0.678552895784378
26935,0.8368270873776312,0.9265033407572383,0.19731098413467407,0.4200890362262726,0.83652,0.8212450742721558,0.6287185766765109,0.29109272360801697,0.8827631578947368,0.7826672448570825,0.5108089447021484
32322,0.8370110649892851,0.9294729027468448,0.18864569067955017,0.45145225524902344,0.81724,1.119016170501709,0.48101995245984297,0.3336627185344696,0.8620263157894736,0.7200954227497721,0.6347103814284006
37709,0.8371291911691646,0.9337787676317744,0.18468749523162842,0.45793214440345764,0.81492,1.3772333860397339,0.4125909385579486,0.34826183319091797,0.8569736842105263,0.6948282075894916,0.7278091212113699
43096,0.8372536244821148,0.9371937639198218,0.1793401539325714,0.43365901708602905,0.82648,0.9974683523178101,0.5499531801483829,0.297839879989624,0.8775,0.7513110600494609,0.5763224164644877
48483,0.8374124401353322,0.9441722345953972,0.18907739222049713,0.484422504901886,0.84104,1.716673493385315,0.45454872866095225,0.34296345710754395,0.8806315789473684,0.7254067692027736,0.8480198184649149
53870,0.8373761403294092,0.9521900519673349,0.1765681803226471,0.5280252695083618,0.8352,1.807607650756836,0.49340920550313333,0.37782591581344604,0.8708684210526316,0.7331592088519217,0.9044862786928812
